,Brand,model_name,color,seller,Storage_in_GB,RAM,Screen_Size_inches,Camera,Battery_capactiy,current_price,product_url,img_url
0,Generic,"105 EG Mobile TA-1459 DS Charcoal Black, Dual Sim",Black,Amazon,1.99,SIM,,,,679,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MTAyNjg5MjgzMTgwMTA2OjE3MTMyMzgyOTE6c3BfYXRmX2Jyb3dzZTozMDAxMzM1MzYwNTY1MzI6OjA6Og&url=%2FMobile-Phone-TA-1459-Charcoal-Ramadan%2Fdp%2FB0CV3GMYY5%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.DUgnSqAGmobQ6tHFYzqJOemqOGGwYOhhJ7ada4AUda7pGL8cRLpwzJMIFVlYq5EqwKPGeplp2xTmM6ZVEJoJjkyASEscR1FMSQzl7hWEzAZ7rcGxriC8fatHnQ4IPuZ3BHqZ7kV62bFBDsilH9vYBlCNoW3S27BwAoy02tc1m2Ki5UlkTFq3PqgJYNdtrOrFDMjdW22cNoMcsSdVPJUowvJ40xkIl_tfsbRZRyKCaoOeaHEQZ6IcsG6JLmBtvlSqakwj5QEzmIzakrHEGAzO4KlFKX8Tgy_8pRANh0Gwcmo.4ADE55Oi_48XCwSHs34JmtGaHGvPgO04Btilhb1eZo4%26dib_tag%3Dse%26qid%3D1713238291%26s%3Delectronics%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/41ZvwWEkBiL._AC_.jpg
1,Generic,1,Black,Amazon,15,,,,,464,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MTAyNjg5MjgzMTgwMTA2OjE3MTMyMzgyOTE6c3BfYXRmX2Jyb3dzZTozMDAxNTE4OTAwOTM3MzI6OjA6Og&url=%2FMobile-Phone-105-Black-Single%2Fdp%2FB0CY93TDL8%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.DUgnSqAGmobQ6tHFYzqJOemqOGGwYOhhJ7ada4AUda7pGL8cRLpwzJMIFVlYq5EqwKPGeplp2xTmM6ZVEJoJjkyASEscR1FMSQzl7hWEzAZ7rcGxriC8fatHnQ4IPuZ3BHqZ7kV62bFBDsilH9vYBlCNoW3S27BwAoy02tc1m2Ki5UlkTFq3PqgJYNdtrOrFDMjdW22cNoMcsSdVPJUowvJ40xkIl_tfsbRZRyKCaoOeaHEQZ6IcsG6JLmBtvlSqakwj5QEzmIzakrHEGAzO4KlFKX8Tgy_8pRANh0Gwcmo.4ADE55Oi_48XCwSHs34JmtGaHGvPgO04Btilhb1eZo4%26dib_tag%3Dse%26qid%3D1713238291%26s%3Delectronics%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/513up6tVw5L._AC_SL1500_.jpg
2,Generic,Nokia 110 Dual SIM Mobile,Black,Amazon,,(&&,,,,553,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MTAyNjg5MjgzMTgwMTA2OjE3MTMyMzgyOTE6c3BfYXRmX2Jyb3dzZTozMDAxMDc3NjEzMzY5MzI6OjA6Og&url=%2FMobile-Phone-Black-Ramadan-Kareem%2Fdp%2FB0CQ3PG5WJ%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.DUgnSqAGmobQ6tHFYzqJOemqOGGwYOhhJ7ada4AUda7pGL8cRLpwzJMIFVlYq5EqwKPGeplp2xTmM6ZVEJoJjkyASEscR1FMSQzl7hWEzAZ7rcGxriC8fatHnQ4IPuZ3BHqZ7kV62bFBDsilH9vYBlCNoW3S27BwAoy02tc1m2Ki5UlkTFq3PqgJYNdtrOrFDMjdW22cNoMcsSdVPJUowvJ40xkIl_tfsbRZRyKCaoOeaHEQZ6IcsG6JLmBtvlSqakwj5QEzmIzakrHEGAzO4KlFKX8Tgy_8pRANh0Gwcmo.4ADE55Oi_48XCwSHs34JmtGaHGvPgO04Btilhb1eZo4%26dib_tag%3Dse%26qid%3D1713238291%26s%3Delectronics%26sr%3D1-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/41g7zULUMlL._AC_.jpg
3,Nokia,G21,Blue,Amazon,128,4GB,,,,"3,999.00",https://www.amazon.eg/-/en/Nokia-G21-Dual-128GB-Inches/dp/B0B39LMDKP,https://m.media-amazon.com/images/I/71AQ3qEZ-VL._AC_SL1500_.jpg
4,,,,Amazon,,8GB,,,5000,"15,444.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-128GB-Inches/dp/B0BXNW1KFB,https://m.media-amazon.com/images/I/71xU8w3fHJL._AC_SL1500_.jpg
5,SAMSUNG,Samsung Galaxy A05s,Black,Amazon,128,4GB,,,,"5,600.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0CP45G7C5,https://m.media-amazon.com/images/I/61jBR+KUEDL._AC_SL1500_.jpg
6,Samsung,Galaxy A54,Awesome Graphite,Amazon,256,8GB,,,5000,"16,840.00",https://www.amazon.eg/-/en/Samsung-Galaxy-A54-Graphite-Warranty/dp/B0BXP126BQ,https://m.media-amazon.com/images/I/71xU8w3fHJL._AC_SL1500_.jpg
7,Samsung,Samsung Galaxy A54,chartreuse,Amazon,256,8GB,,,5000,"17,415.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-256GB-Inches/dp/B0BXNWQZZB,https://m.media-amazon.com/images/I/716FwKy9FlL._AC_SL1500_.jpg
8,SAMSUNG,Samsung Galaxy A05s,Black,Amazon,128,6GB,,,,"6,499.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0CP45ZGRK,https://m.media-amazon.com/images/I/61jBR+KUEDL._AC_SL1500_.jpg
9,,,,Amazon,,8GB,,,5000,"15,444.00",https://www.amazon.eg/-/en/Samsung-Galaxy-A54-Android-Awesome/dp/B0BXNW1SP4,https://m.media-amazon.com/images/I/51kQgMblg9L._AC_.jpg
